"ID","AREA","LATITUDE","LONGITUDE","NAME"
1,,-34.7206336,-58.2546051,Quilmes
2,,-34.7108688,-58.2800827,Bernal
3,,-34.748497,-58.238205,Ezpeleta
4,,-34.6610756,-58.3669739,Avellaneda
5,,-34.7678337,-58.3792534,Temperley
6,,-34.7030869,-58.2974319,Don Bosco
7,,-34.695385,-58.3320999,Villa Dominico
8,,-34.6539459,-58.3489914,Dock Sud
9,,-34.425087,-58.5796585,Tigre
10,,-35.0241698,-58.4237574,San Vicente
11,,-34.470829,-58.5286102,San Isidro
12,,-34.7611823,-58.4302476,Lomas de Zamora
13,,-34.6994795,-58.3920795,Lanus
14,,-34.4938049,-58.6272715,Don Torcuato
15,,-34.6685004,-58.7282483,Merlo
16,,-34.6340099,-58.791382,Moreno
17,,-34.5281205,-58.473816,Vicente Lopez
18,,-34.47509,-58.753746,Tortuguitas
19,,-34.7900852,-58.1548511,Hudson
20,,-34.762001,-58.2112961,Berazategui
